,Unnamed: 0,chemical1,chemical2,similarity,experimental,database,textmining,combined_score
79,79,90470996,18830,504,335,0,0,335
83,83,90470996,27991,0,335,0,0,335
85,85,90470996,4055,0,335,0,0,335
87,87,90470996,5280483,0,335,0,611,733
91,91,90470996,5526,0,335,0,218,464
92,92,90470996,564,0,335,0,105,387
96,96,90470996,644077,0,335,0,0,335
261,261,57379345,108152,0,297,0,0,297
262,262,57379345,11626560,0,297,0,765,829
263,263,57379345,11707110,0,297,0,310,500
264,264,57379345,123631,0,297,0,501,638
268,268,57379345,160355,0,297,0,0,297
272,272,57379345,176870,0,297,0,505,641
273,273,57379345,208908,0,297,0,177,404
274,274,57379345,216239,0,297,0,125,366
275,275,57379345,24826799,0,297,0,296,490
276,276,57379345,3062316,0,297,0,218,433
277,277,57379345,312145,0,297,0,0,297
279,279,57379345,3220,0,297,0,0,297
282,282,57379345,3547,0,297,0,0,297
284,284,57379345,4713,0,297,0,0,297
285,285,57379345,5280961,0,297,0,0,297
286,286,57379345,5287969,0,297,0,0,297
287,287,57379345,5291,0,297,0,178,404
289,289,57379345,5329098,0,297,0,0,297
290,290,57379345,5329099,0,297,0,0,297
291,291,57379345,5330286,0,297,0,210,428
292,292,57379345,6450551,0,297,0,104,351
294,294,57379345,72271,0,297,0,0,297
295,295,57379345,9823820,0,297,0,109,354
296,296,57379345,9926791,0,297,0,0,297
297,297,57379345,9933475,0,297,0,0,297
607,607,54693559,130881,0,426,0,0,426
608,608,54693559,132387,0,426,0,0,426
609,609,54693559,158781,0,426,0,0,426
610,610,54693559,192314,593,426,0,0,426
612,612,54693559,2540,0,426,0,0,426
613,613,54693559,2541,0,426,0,0,426
614,614,54693559,3749,0,426,0,0,426
615,615,54693559,3961,0,426,0,0,426
616,616,54693559,4673492,0,426,0,0,426
617,617,54693559,5281037,0,412,0,0,412
618,618,54693559,5311345,0,412,0,0,412
619,619,54693559,60846,0,426,0,0,426
620,620,54693559,60919,637,426,0,822,894
622,622,54693559,6324663,0,426,0,0,426
623,623,54693559,65999,0,426,0,0,426
624,624,54693559,72168,0,426,0,0,426
625,625,54693559,9827346,0,426,0,0,426
750,750,54680692,10182969,0,208,0,502,593
751,751,54680692,10205,0,208,0,0,208
752,752,54680692,10280735,0,208,0,313,439
757,757,54680692,183797,0,208,0,230,371
761,761,54680692,25201794,0,208,0,580,657
762,762,54680692,25244225,0,208,0,384,497
765,765,54680692,311,0,208,0,0,208
766,766,54680692,3121,0,208,0,560,641
767,767,54680692,32756,0,208,0,0,208
774,774,54680692,5001396,0,208,0,884,906
775,775,54680692,54676537,0,208,0,822,854
780,780,54680692,54685524,0,208,0,580,657
782,782,54680692,5496659,0,208,0,0,208
794,794,54680692,772,0,208,0,604,677
797,797,54680692,9574101,0,208,0,299,428
798,798,54680692,9578572,0,208,0,359,477
799,799,54680692,9807238,0,208,0,0,208
800,800,54680692,9875401,0,208,0,580,657
801,801,54680692,9912771,0,208,0,172,324
803,803,54676537,10182969,0,208,0,606,678
804,804,54676537,10205,0,208,0,0,208
805,805,54676537,10280735,0,208,0,476,572
810,810,54676537,183797,0,208,0,0,208
814,814,54676537,25201794,0,208,0,430,535
815,815,54676537,25244225,0,208,0,529,615
818,818,54676537,311,0,208,0,0,208
819,819,54676537,3121,0,208,0,0,208
820,820,54676537,32756,0,208,0,0,208
827,827,54676537,5001396,0,208,0,819,852
831,831,54676537,54680692,0,208,0,822,854
833,833,54676537,54685524,0,208,0,504,595
835,835,54676537,5496659,0,208,0,100,265
847,847,54676537,772,0,208,0,651,715
850,850,54676537,9574101,0,208,0,388,500
851,851,54676537,9578572,0,208,0,479,575
