chemical,protein,label
311,ENSP00000217901,1
4184,ENSP00000302811,0
753,ENSP00000242375,1
9395,ENSP00000263464,0
593,ENSP00000361465,1
5152,ENSP00000319984,0
9849616,ENSP00000378288,0
4179,ENSP00000417052,0
3430,ENSP00000419628,0
1240,ENSP00000373169,1
6741,ENSP00000343690,0
3915,ENSP00000264193,0
1117,ENSP00000311469,1
753,ENSP00000325120,1
5251896,ENSP00000250018,0
4736,ENSP00000431049,0
5894,ENSP00000217244,1
3081361,ENSP00000361423,1
699,ENSP00000332973,0
119380,ENSP00000322898,0
5311068,ENSP00000228476,0
16960,ENSP00000225831,0
191,ENSP00000354859,1
4688,ENSP00000360538,0
63062,ENSP00000380157,0
5359371,ENSP00000245312,0
2430,ENSP00000305714,0
699,ENSP00000317985,0
5073,ENSP00000316244,1
8646,ENSP00000447149,0
2332,ENSP00000261783,1
431328,ENSP00000250559,0
54746,ENSP00000428426,0
5376,ENSP00000359643,0
6380,ENSP00000346148,0
107992,ENSP00000276198,1
1810907,ENSP00000000233,0
2354,ENSP00000308938,0
129806,ENSP00000219313,0
4383,ENSP00000364801,0
4885,ENSP00000316244,1
5486684,ENSP00000168216,0
13804,ENSP00000260324,0
54693559,ENSP00000276198,0
934,ENSP00000357066,1
3559,ENSP00000262186,1
5790,ENSP00000362608,0
107640,ENSP00000321656,0
55283,ENSP00000332973,0
5284595,ENSP00000410076,0
5203,ENSP00000367851,0
3964,ENSP00000306662,1
1134,ENSP00000414334,1
6013,ENSP00000369050,1
4993,ENSP00000261416,1
312,ENSP00000324806,1
1978,ENSP00000306490,0
22258,ENSP00000322924,0
2154,ENSP00000321999,0
2551,ENSP00000224356,0
24466,ENSP00000307766,0
119607,ENSP00000377192,0
114903,ENSP00000367309,1
18830,ENSP00000299565,0
9578572,ENSP00000354822,0
5202,ENSP00000336630,1
44093,ENSP00000379140,0
4745,ENSP00000176183,1
1202,ENSP00000251849,0
1117,ENSP00000364114,1
71120,ENSP00000351484,1
5709,ENSP00000368766,1
10836,ENSP00000268379,0
5288209,ENSP00000262948,0
312,ENSP00000222982,1
4639,ENSP00000234961,1
2732,ENSP00000178638,1
3016,ENSP00000203407,0
4192,ENSP00000227378,0
4080,ENSP00000312262,0
5202,ENSP00000299727,1
3793,ENSP00000262545,0
10280735,ENSP00000265294,0
5587,ENSP00000308549,0
2200,ENSP00000419970,0
5572,ENSP00000219919,0
1051,ENSP00000216484,1
3042,ENSP00000275300,0
156391,ENSP00000466420,0
3973,ENSP00000310935,0
9904,ENSP00000325120,1
1204,ENSP00000289957,1
25197,ENSP00000245206,0
22258,ENSP00000358511,0
1065,ENSP00000320709,0
5512,ENSP00000347839,0
39468,ENSP00000366506,0
11301,ENSP00000254301,0
10280735,ENSP00000280155,0
23994,ENSP00000276431,1
444795,ENSP00000359998,0
56971,ENSP00000311165,0
5358,ENSP00000321821,0
6000,ENSP00000307241,0
2156,ENSP00000402084,0
9576912,ENSP00000359151,0
4543,ENSP00000267568,0
702,ENSP00000205402,0
35370,ENSP00000268379,0
3381,ENSP00000341117,0
753,ENSP00000312326,1
298,ENSP00000331746,0
753,ENSP00000353483,1
1117,ENSP00000314407,0
4248,ENSP00000273430,0
130731,ENSP00000278742,0
2714,ENSP00000357067,0
784,ENSP00000335592,0
2215,ENSP00000314508,0
33624,ENSP00000260227,0
60184,ENSP00000366233,0
5202,ENSP00000234371,1
55482,ENSP00000248437,0
2803,ENSP00000263923,0
71739,ENSP00000364475,0
10635,ENSP00000287022,0
3001055,ENSP00000270139,0
291,ENSP00000312189,0
25880656,ENSP00000347839,0
4771,ENSP00000216465,0
1893,ENSP00000322898,0
23994,ENSP00000368552,1
5401,ENSP00000369960,1
11597571,ENSP00000222002,0
2761,ENSP00000222982,0
5588,ENSP00000270139,0
60809,ENSP00000364801,0
206042,ENSP00000245552,0
937,ENSP00000217244,1
119574,ENSP00000353731,0
60919,ENSP00000367934,0
424,ENSP00000359899,0
4042,ENSP00000370129,1
5280363,ENSP00000302846,1
5284596,ENSP00000394624,1
5487,ENSP00000261835,0
2676,ENSP00000287936,1
2519,ENSP00000324124,0
3081361,ENSP00000222553,0
4168,ENSP00000269848,0
2462,ENSP00000262290,0
166558,ENSP00000268251,0
2913,ENSP00000368766,1
5329102,ENSP00000353452,1
3715,ENSP00000367102,1
23925,ENSP00000273550,1
3391,ENSP00000308750,0
65243,ENSP00000253004,0
4601,ENSP00000316244,0
122335,ENSP00000320503,0
4488,ENSP00000332369,0
3165,ENSP00000266970,1
60785,ENSP00000410076,0
5405,ENSP00000257549,0
4920,ENSP00000363822,1
2987,ENSP00000272298,0
4932,ENSP00000317272,0
936,ENSP00000222553,1
16157882,ENSP00000000233,0
1117,ENSP00000272317,1
1593,ENSP00000371138,0
2790,ENSP00000332369,0
4108,ENSP00000308549,0
5527,ENSP00000250971,0
4736,ENSP00000289575,0
945,ENSP00000354280,0
71739,ENSP00000322421,0
122172,ENSP00000431418,0
4098,ENSP00000380247,1
9904,ENSP00000256958,0
160,ENSP00000305877,1
5472,ENSP00000274192,0
785,ENSP00000327251,0
3042,ENSP00000306490,1
702,ENSP00000370270,0
679,ENSP00000337825,1
5562,ENSP00000222382,0
3032,ENSP00000360317,1
10096344,ENSP00000380514,0
4946,ENSP00000362401,0
23994,ENSP00000353920,1
392622,ENSP00000368766,0
5280363,ENSP00000299178,1
216235,ENSP00000290597,0
445154,ENSP00000301974,0
3430,ENSP00000288022,0
60961,ENSP00000343782,1
1117,ENSP00000340736,1
564,ENSP00000250378,0
104865,ENSP00000335620,0
3081361,ENSP00000231487,0
4171,ENSP00000258042,1
135018,ENSP00000292614,0
49836058,ENSP00000383042,0
4122,ENSP00000295256,1
4811,ENSP00000303211,1
100516,ENSP00000234961,0
3585,ENSP00000357920,0
5186,ENSP00000466799,0
54369,ENSP00000261465,0
4659568,ENSP00000299267,0
2267,ENSP00000266560,0
392622,ENSP00000368552,0
11597571,ENSP00000361423,1
6337614,ENSP00000312673,0
10133,ENSP00000280154,0
23932,ENSP00000353483,0
3675,ENSP00000340684,1
501390,ENSP00000308720,0
5514,ENSP00000271450,0
192314,ENSP00000364831,0
6010,ENSP00000322706,0
1744,ENSP00000380157,0
158,ENSP00000216629,1
4477,ENSP00000333534,0
183092,ENSP00000323511,0
65981,ENSP00000374467,1
644345,ENSP00000295256,0
5281888,ENSP00000315011,0
7019,ENSP00000350425,0
2239,ENSP00000358301,1
5408,ENSP00000263774,0
4585,ENSP00000380247,1
1983,ENSP00000354612,1
5253,ENSP00000315774,0
4889,ENSP00000308137,0
23925,ENSP00000371138,1
1440,ENSP00000232217,0
5894,ENSP00000364252,0
4946,ENSP00000260447,0
2538,ENSP00000229416,0
5311018,ENSP00000339399,0
9799453,ENSP00000286479,0
6230,ENSP00000206249,1
1117,ENSP00000353720,1
122335,ENSP00000309504,0
5310985,ENSP00000342070,0
6291,ENSP00000361021,0
3325,ENSP00000279247,0
4055,ENSP00000363832,1
5994,ENSP00000275300,1
60961,ENSP00000303147,1
60857,ENSP00000293897,0
3387,ENSP00000272190,0
5202,ENSP00000359899,1
2689,ENSP00000354193,0
72438,ENSP00000314508,0
5076,ENSP00000337915,1
123878,ENSP00000324124,0
158,ENSP00000349003,1
3916,ENSP00000258400,1
114866,ENSP00000267568,0
15602694,ENSP00000264047,0
149,ENSP00000366156,1
753,ENSP00000332139,1
51634,ENSP00000355086,0
5755,ENSP00000310935,0
5610,ENSP00000360519,0
3165,ENSP00000278379,0
1541,ENSP00000331327,0
1117,ENSP00000298556,1
1821,ENSP00000345771,0
753,ENSP00000228434,1
15897,ENSP00000312673,0
1690,ENSP00000181383,0
123970,ENSP00000310701,0
3033538,ENSP00000285379,0
3007,ENSP00000362924,0
457954,ENSP00000364212,0
3278,ENSP00000292513,0
92730,ENSP00000261465,1
2308,ENSP00000441600,0
4850,ENSP00000326227,0
23994,ENSP00000378295,1
5311018,ENSP00000265572,1
45272686,ENSP00000226004,0
9815499,ENSP00000369927,0
14985,ENSP00000299178,0
5508,ENSP00000356438,1
4735,ENSP00000261523,0
5420,ENSP00000334592,0
14917,ENSP00000315644,0
2332,ENSP00000287936,0
36811,ENSP00000303634,0
11556427,ENSP00000377083,0
191,ENSP00000339933,1
5533,ENSP00000261707,1
5097,ENSP00000256443,1
5567,ENSP00000235521,0
3340,ENSP00000341682,0
360682,ENSP00000335511,0
47318,ENSP00000265465,0
446156,ENSP00000350928,0
1117,ENSP00000379140,1
33036,ENSP00000275216,0
3603,ENSP00000306490,1
3384,ENSP00000359532,0
4402,ENSP00000262187,0
23925,ENSP00000251810,1
1224,ENSP00000373169,1
1355,ENSP00000262584,0
64715,ENSP00000338082,0
4782,ENSP00000320043,0
119,ENSP00000370213,0
2732,ENSP00000260227,0
4055,ENSP00000361465,0
4456,ENSP00000229135,0
160,ENSP00000303686,1
5538,ENSP00000363822,1
643976,ENSP00000309565,1
9875401,ENSP00000330284,0
2116,ENSP00000356972,0
2801,ENSP00000367959,1
4425,ENSP00000301634,0
5472495,ENSP00000285930,1
13804,ENSP00000377549,0
3916,ENSP00000368066,0
3000,ENSP00000275525,0
5311080,ENSP00000394624,1
1613,ENSP00000431418,0
439260,ENSP00000243911,1
3016,ENSP00000386029,1
312,ENSP00000369050,1
57379345,ENSP00000396308,0
2949,ENSP00000337915,0
5568,ENSP00000377914,0
149,ENSP00000353904,0
3042,ENSP00000359976,0
4865,ENSP00000265715,0
107992,ENSP00000367959,1
126941,ENSP00000315644,1
298,ENSP00000216629,1
1541,ENSP00000280155,1
3238,ENSP00000298171,0
206042,ENSP00000387536,0
6466,ENSP00000362361,0
191,ENSP00000357920,0
4630,ENSP00000216484,0
753,ENSP00000250559,1
20469,ENSP00000358783,0
3310,ENSP00000341189,0
1117,ENSP00000221130,1
745,ENSP00000322909,0
338,ENSP00000312606,0
6230,ENSP00000223366,0
941361,ENSP00000378699,0
16004692,ENSP00000366416,1
107640,ENSP00000358814,0
5743,ENSP00000357066,0
5959,ENSP00000281806,1
1593,ENSP00000256104,0
4536,ENSP00000349687,0
312,ENSP00000308541,1
4034,ENSP00000319788,0
1983,ENSP00000303147,0
2156,ENSP00000377948,0
2216,ENSP00000358595,0
4306515,ENSP00000322909,0
2160,ENSP00000219833,1
107640,ENSP00000308032,0
1204,ENSP00000446743,0
10591,ENSP00000309477,0
104842,ENSP00000368752,0
312,ENSP00000223095,1
23977,ENSP00000452780,1
123619,ENSP00000356438,1
5574,ENSP00000457031,0
107772,ENSP00000250559,0
122187,ENSP00000339479,0
10133,ENSP00000337825,0
9878,ENSP00000211122,0
951,ENSP00000333821,1
119182,ENSP00000419027,0
5287620,ENSP00000312326,0
60809,ENSP00000319984,1
5284595,ENSP00000320147,0
448537,ENSP00000386171,1
135018,ENSP00000306490,0
936,ENSP00000300900,0
2578,ENSP00000293860,0
219024,ENSP00000291294,0
710,ENSP00000233627,1
3304,ENSP00000359685,0
39468,ENSP00000306662,0
951,ENSP00000250559,0
864,ENSP00000254488,0
5790,ENSP00000292427,0
23930,ENSP00000326031,1
401133,ENSP00000392411,0
3413,ENSP00000269159,0
1683,ENSP00000414019,0
3440,ENSP00000329374,1
718,ENSP00000320171,1
5035,ENSP00000406220,0
3692,ENSP00000256906,1
3365,ENSP00000222982,1
5755,ENSP00000261890,0
5524,ENSP00000448059,0
5284604,ENSP00000370526,0
3033538,ENSP00000257068,0
3615,ENSP00000256906,1
168572,ENSP00000301729,0
4659569,ENSP00000366488,0
838,ENSP00000267377,1
3249,ENSP00000362463,0
4542,ENSP00000281806,0
151069,ENSP00000366797,0
130214,ENSP00000222481,0
5514,ENSP00000345659,1
312,ENSP00000227378,1
166558,ENSP00000359211,0
2995,ENSP00000251810,0
445643,ENSP00000366506,0
1983,ENSP00000255380,0
1701,ENSP00000230671,0
191,ENSP00000358783,1
5281881,ENSP00000260116,0
5497186,ENSP00000235382,0
23925,ENSP00000329093,1
6917908,ENSP00000370223,0
16132429,ENSP00000265734,0
4595,ENSP00000302811,0
119,ENSP00000352702,1
2761,ENSP00000218758,0
5466,ENSP00000379133,0
11597571,ENSP00000270570,0
445354,ENSP00000232217,1
5281708,ENSP00000216714,0
107971,ENSP00000324856,0
9824,ENSP00000225371,0
1117,ENSP00000350425,1
394347,ENSP00000302898,0
4748,ENSP00000337949,1
11556427,ENSP00000315602,0
6089,ENSP00000356410,0
55283,ENSP00000308032,0
2783,ENSP00000264047,1
4946,ENSP00000367959,1
107994,ENSP00000335511,0
3826,ENSP00000303424,0
3255,ENSP00000292180,0
65750,ENSP00000373169,1
5870,ENSP00000293761,0
393599,ENSP00000261890,0
2913,ENSP00000289753,1
312,ENSP00000372023,1
1690,ENSP00000329684,0
3391,ENSP00000385834,0
23994,ENSP00000436318,1
23994,ENSP00000370254,1
3449,ENSP00000341551,0
5381,ENSP00000308720,0
2914,ENSP00000339260,0
5538,ENSP00000326424,0
5485199,ENSP00000225430,0
3143,ENSP00000318077,0
5202,ENSP00000359793,1
3238,ENSP00000381412,0
191,ENSP00000332591,1
15897,ENSP00000420269,0
4993,ENSP00000354813,0
6918155,ENSP00000356094,0
4020,ENSP00000405965,0
6466,ENSP00000263025,0
19910,ENSP00000255262,0
59768,ENSP00000368104,0
65020,ENSP00000261937,0
158,ENSP00000263038,0
2564,ENSP00000216629,0
6013,ENSP00000369816,1
314,ENSP00000267085,0
1117,ENSP00000363822,1
9966051,ENSP00000229239,0
16362,ENSP00000256594,0
68760,ENSP00000357727,0
2968,ENSP00000236826,0
21855,ENSP00000314151,0
3059,ENSP00000312673,0
5283731,ENSP00000261783,0
3455,ENSP00000219833,1
5186,ENSP00000302967,1
3567002,ENSP00000309591,0
312,ENSP00000306606,1
4636,ENSP00000367959,1
4724,ENSP00000381740,0
702,ENSP00000261733,1
774,ENSP00000273430,1
1548999,ENSP00000260447,0
444008,ENSP00000277480,0
35370,ENSP00000235382,0
5022,ENSP00000362401,0
208908,ENSP00000302967,0
6305,ENSP00000347495,1
187,ENSP00000272317,0
3016,ENSP00000223095,0
4900,ENSP00000333568,0
5288826,ENSP00000298942,0
5284596,ENSP00000341658,0
5052,ENSP00000265724,1
3017,ENSP00000309259,0
35370,ENSP00000252945,0
5472495,ENSP00000280700,0
33036,ENSP00000370376,0
3450,ENSP00000319984,1
122024,ENSP00000370223,0
5282381,ENSP00000331736,0
6918837,ENSP00000277010,0
4171,ENSP00000358730,1
1809,ENSP00000322617,0
5466,ENSP00000282957,0
2519,ENSP00000261523,0
131432,ENSP00000358107,0
951,ENSP00000350198,1
122172,ENSP00000455607,0
5593,ENSP00000359539,0
4631,ENSP00000419425,0
718,ENSP00000296509,0
3682,ENSP00000367615,0
501640,ENSP00000276198,0
4984,ENSP00000310219,0
72172,ENSP00000359998,0
3198,ENSP00000295897,0
5472,ENSP00000346577,0
4488,ENSP00000358814,0
198792,ENSP00000271450,0
57379345,ENSP00000300605,0
838,ENSP00000308549,1
2477,ENSP00000354859,1
1117,ENSP00000324806,1
5137129,ENSP00000265572,1
439260,ENSP00000358963,1
2685,ENSP00000355930,0
644077,ENSP00000223095,0
4932,ENSP00000228740,0
679,ENSP00000357981,1
2332,ENSP00000295589,0
4639,ENSP00000335304,0
3007,ENSP00000332812,0
158,ENSP00000296140,1
3461,ENSP00000286648,1
5524,ENSP00000356671,0
1050,ENSP00000363676,0
23994,ENSP00000265164,1
5362436,ENSP00000236826,0
68844,ENSP00000285379,1
1132,ENSP00000405455,1
3450,ENSP00000249396,0
5358,ENSP00000222382,0
55482,ENSP00000354813,0
3954,ENSP00000270349,0
187,ENSP00000303575,0
753,ENSP00000309477,1
15209,ENSP00000345873,0
6438355,ENSP00000400175,0
