chemical,protein,label
6741,ENSP00000231509,1
5480230,ENSP00000372191,0
216239,ENSP00000347942,1
2088,ENSP00000313681,0
64627,ENSP00000362401,0
5281969,ENSP00000362463,0
2968,ENSP00000306512,0
65750,ENSP00000261799,0
4168,ENSP00000176183,1
9934,ENSP00000325120,0
951,ENSP00000280155,1
3682,ENSP00000345659,0
4095,ENSP00000265724,1
3957,ENSP00000320709,0
23994,ENSP00000381717,1
54454,ENSP00000321821,0
5959,ENSP00000332659,1
4920,ENSP00000336528,1
2153,ENSP00000308549,1
2165,ENSP00000343190,0
23994,ENSP00000356480,1
2995,ENSP00000354859,1
65110,ENSP00000240139,0
5287844,ENSP00000361423,1
2854,ENSP00000328708,0
4745,ENSP00000327246,0
5408,ENSP00000305302,0
119461,ENSP00000292513,1
4296,ENSP00000258400,1
11804285,ENSP00000229416,0
71616,ENSP00000295400,0
1253,ENSP00000355866,0
5311023,ENSP00000356694,0
1117,ENSP00000361125,1
5278,ENSP00000337335,0
2761,ENSP00000256906,1
1051,ENSP00000261326,1
285,ENSP00000217426,0
5472,ENSP00000292614,0
4920,ENSP00000370254,1
26879,ENSP00000356022,0
3675,ENSP00000337915,1
5610,ENSP00000275216,1
4829,ENSP00000419692,1
5282279,ENSP00000155840,1
2833,ENSP00000261007,0
2538,ENSP00000336687,0
3310,ENSP00000225430,0
9400,ENSP00000410732,0
28417,ENSP00000263800,0
176870,ENSP00000289753,0
2200,ENSP00000263182,0
2131,ENSP00000326227,0
3016,ENSP00000295897,1
5202,ENSP00000330284,1
5743,ENSP00000301729,0
16960,ENSP00000225831,0
3086685,ENSP00000220584,0
3916,ENSP00000258400,1
16132139,ENSP00000451605,1
2826,ENSP00000270349,1
4044,ENSP00000431049,0
5359272,ENSP00000253792,0
23930,ENSP00000362674,1
104787,ENSP00000394624,1
449459,ENSP00000360154,0
5352,ENSP00000384296,0
444,ENSP00000327801,0
3394,ENSP00000262584,0
5405,ENSP00000255380,1
610479,ENSP00000241337,0
446220,ENSP00000332679,0
439260,ENSP00000245457,1
446220,ENSP00000306490,1
1117,ENSP00000292147,1
951,ENSP00000356671,0
2083,ENSP00000302150,0
107772,ENSP00000416293,0
3676,ENSP00000372023,0
1548943,ENSP00000377192,0
4850,ENSP00000296861,0
57242,ENSP00000352900,0
2803,ENSP00000386069,1
4991,ENSP00000378394,0
71301,ENSP00000416293,0
774,ENSP00000258042,1
2462,ENSP00000237858,0
3310,ENSP00000295101,0
5032,ENSP00000280155,1
252716,ENSP00000336687,0
23994,ENSP00000265164,1
36736,ENSP00000358022,0
838,ENSP00000359899,1
312,ENSP00000332679,1
3158,ENSP00000366506,1
192314,ENSP00000396308,0
5284569,ENSP00000265572,1
3086671,ENSP00000372088,0
3463,ENSP00000360317,1
5691,ENSP00000373700,0
5662,ENSP00000340684,0
55245,ENSP00000360939,0
11626560,ENSP00000361423,1
644077,ENSP00000199280,0
5401,ENSP00000316121,0
3715,ENSP00000370254,1
3241,ENSP00000389948,0
5283731,ENSP00000273064,0
2487,ENSP00000319730,0
5284603,ENSP00000394624,1
3285,ENSP00000288135,0
3602,ENSP00000255380,1
5376,ENSP00000353720,1
200,ENSP00000346148,1
92411,ENSP00000264381,0
115146,ENSP00000262033,0
951,ENSP00000261890,0
312,ENSP00000357204,1
2756,ENSP00000340330,0
961,ENSP00000216484,0
5556,ENSP00000262948,0
10836,ENSP00000354859,1
5149021,ENSP00000229239,0
657378,ENSP00000356671,0
312,ENSP00000250378,0
6037,ENSP00000321845,0
3449,ENSP00000215773,0
4160,ENSP00000379680,0
596,ENSP00000226444,0
5040,ENSP00000265724,1
