chemical,protein,label
19143,ENSP00000363988,0
5626,ENSP00000373169,1
5077,ENSP00000262848,0
2325,ENSP00000344193,0
2153,ENSP00000319501,0
107688,ENSP00000264381,1
16197727,ENSP00000245206,0
2548,ENSP00000342007,1
124886,ENSP00000356958,0
2826,ENSP00000261707,1
3121,ENSP00000010404,0
5512,ENSP00000263753,0
23994,ENSP00000231487,1
6505803,ENSP00000344220,0
2803,ENSP00000366506,1
3857,ENSP00000295055,0
3559,ENSP00000280155,1
5280453,ENSP00000206249,1
5253,ENSP00000263464,0
596,ENSP00000286648,1
41987,ENSP00000350941,0
3100,ENSP00000348918,0
5022,ENSP00000304501,1
3682,ENSP00000378323,0
4828,ENSP00000278379,0
3151,ENSP00000262340,0
838,ENSP00000295589,1
4727,ENSP00000323867,0
3567002,ENSP00000262187,0
5959,ENSP00000394624,1
21855,ENSP00000359539,0
5472495,ENSP00000250018,0
23977,ENSP00000362674,1
4171,ENSP00000316244,1
3547,ENSP00000241337,0
19,ENSP00000354728,0
94701,ENSP00000353720,0
3168,ENSP00000266517,0
5282280,ENSP00000176183,1
3177,ENSP00000234961,0
3715,ENSP00000393333,1
4011,ENSP00000306490,1
5462501,ENSP00000248437,0
1210,ENSP00000247970,0
216239,ENSP00000370938,1
4436,ENSP00000443459,0
3918,ENSP00000356591,0
4196,ENSP00000363822,1
4205,ENSP00000337949,1
5039,ENSP00000463999,0
4911,ENSP00000296861,0
124886,ENSP00000301776,0
3042,ENSP00000245312,0
3715,ENSP00000306512,1
6438354,ENSP00000287820,0
5376,ENSP00000319814,0
876,ENSP00000326227,0
5280961,ENSP00000466799,1
1355,ENSP00000303423,0
92100,ENSP00000334592,0
5401,ENSP00000340609,0
3715,ENSP00000363822,1
124087,ENSP00000381968,0
446220,ENSP00000279247,0
838,ENSP00000258042,1
702,ENSP00000205402,0
838,ENSP00000444788,0
2419,ENSP00000216330,0
16156130,ENSP00000372112,0
6834,ENSP00000319984,1
3107,ENSP00000262584,0
2165,ENSP00000309148,0
447700,ENSP00000319501,0
5202,ENSP00000258042,1
5202,ENSP00000295589,1
16157882,ENSP00000434364,0
26879,ENSP00000297258,0
5360696,ENSP00000319060,0
2978,ENSP00000218758,0
38409,ENSP00000272902,0
104842,ENSP00000265465,0
4629,ENSP00000261937,0
951,ENSP00000270349,1
5329102,ENSP00000297373,1
4631609,ENSP00000355866,0
3762,ENSP00000452780,0
5186,ENSP00000285900,0
1132,ENSP00000452780,0
5056,ENSP00000234111,1
3857,ENSP00000322991,0
5408,ENSP00000347754,0
3827,ENSP00000262848,0
49836058,ENSP00000276373,0
41774,ENSP00000397582,1
3033538,ENSP00000322716,0
5052,ENSP00000276373,1
5287969,ENSP00000261799,0
753,ENSP00000328173,0
643976,ENSP00000327268,1
60961,ENSP00000216911,1
5012,ENSP00000302486,0
2949,ENSP00000261900,0
439176,ENSP00000282841,0
3915,ENSP00000289957,0
3779,ENSP00000332812,0
97272,ENSP00000364898,0
5202,ENSP00000349003,1
4495,ENSP00000231751,1
1546,ENSP00000350616,0
3696,ENSP00000380247,1
6305,ENSP00000376177,0
27991,ENSP00000288022,0
160355,ENSP00000386069,0
23994,ENSP00000306866,1
4205,ENSP00000372654,0
23994,ENSP00000370571,1
72430,ENSP00000381412,0
16362,ENSP00000276198,1
753,ENSP00000442050,1
753,ENSP00000464149,1
4080,ENSP00000435412,0
5472,ENSP00000372088,0
5280360,ENSP00000343782,1
5994,ENSP00000341390,1
999,ENSP00000354687,0
51683,ENSP00000302898,0
20469,ENSP00000348461,0
6726,ENSP00000276373,0
9826744,ENSP00000358511,1
166558,ENSP00000355645,0
10280735,ENSP00000372654,0
3648,ENSP00000265572,1
5662,ENSP00000291294,0
5202,ENSP00000433290,1
667490,ENSP00000373169,0
3385,ENSP00000266682,0
122220,ENSP00000216774,0
750,ENSP00000419425,1
16960,ENSP00000225831,0
122220,ENSP00000303211,0
2818,ENSP00000372750,1
33036,ENSP00000289753,0
5280346,ENSP00000370213,0
107985,ENSP00000265294,0
2826,ENSP00000345502,0
2913,ENSP00000367959,1
5610,ENSP00000270349,1
311,ENSP00000256104,1
5311081,ENSP00000394624,1
91649,ENSP00000386541,0
3016,ENSP00000274547,1
444795,ENSP00000303522,0
60490,ENSP00000430432,0
3177,ENSP00000357907,0
3001028,ENSP00000217961,1
3340,ENSP00000385638,0
94701,ENSP00000343657,0
681,ENSP00000353915,1
72430,ENSP00000368104,0
92411,ENSP00000312326,0
14985,ENSP00000222673,0
4742,ENSP00000343690,0
3413,ENSP00000310071,0
4430,ENSP00000363046,0
5401,ENSP00000368766,1
4369359,ENSP00000386171,0
23994,ENSP00000371554,1
191,ENSP00000357301,1
5452,ENSP00000306662,1
23994,ENSP00000298171,1
3877,ENSP00000307259,0
4428,ENSP00000394624,1
31703,ENSP00000337949,0
2132,ENSP00000359991,0
3086671,ENSP00000269159,0
85,ENSP00000176183,0
3386,ENSP00000367959,1
2239,ENSP00000359998,0
6005,ENSP00000373169,1
312,ENSP00000304697,1
55245,ENSP00000248923,0
213023,ENSP00000361405,0
753,ENSP00000347839,1
643976,ENSP00000229447,1
1546,ENSP00000303830,0
44093,ENSP00000306129,0
2987,ENSP00000272102,0
593,ENSP00000219252,1
3086686,ENSP00000286301,1
3410,ENSP00000332812,0
643976,ENSP00000356972,1
147912,ENSP00000362401,0
10096344,ENSP00000302111,0
3585,ENSP00000343204,0
3696,ENSP00000261707,1
150310,ENSP00000363205,0
16362,ENSP00000316244,1
5287969,ENSP00000392709,0
4885,ENSP00000280551,0
54746,ENSP00000280155,1
5314,ENSP00000302898,0
33036,ENSP00000300093,0
4429,ENSP00000385026,0
123015,ENSP00000292147,0
710,ENSP00000355206,1
122187,ENSP00000356958,0
9578572,ENSP00000308541,1
312,ENSP00000297494,1
4629,ENSP00000341682,0
443408,ENSP00000216254,0
119,ENSP00000377914,0
4980,ENSP00000309741,0
107706,ENSP00000403852,0
5376,ENSP00000222673,0
5077,ENSP00000155840,0
35370,ENSP00000303424,0
745,ENSP00000315644,1
5311081,ENSP00000234961,1
23991,ENSP00000290354,0
23925,ENSP00000293761,1
19861,ENSP00000328708,0
951,ENSP00000249016,1
5994,ENSP00000293897,0
15,ENSP00000363822,1
4485,ENSP00000304697,0
444033,ENSP00000414334,0
5593,ENSP00000303634,0
108182,ENSP00000362115,0
1202,ENSP00000333994,0
5472495,ENSP00000289575,0
5472,ENSP00000274192,0
3158,ENSP00000349467,0
679,ENSP00000312262,0
3877,ENSP00000345873,0
6013,ENSP00000342007,1
5202,ENSP00000219789,0
3086685,ENSP00000356070,0
4659569,ENSP00000354511,1
3767,ENSP00000360372,1
3750,ENSP00000358727,0
3585,ENSP00000348944,0
312145,ENSP00000248437,0
23994,ENSP00000357461,0
5288826,ENSP00000241453,0
33036,ENSP00000331201,0
5072,ENSP00000337761,0
4534,ENSP00000430269,0
119828,ENSP00000230671,0
753,ENSP00000280700,1
4630,ENSP00000409378,1
5691,ENSP00000317985,0
107706,ENSP00000292147,0
4926,ENSP00000354859,1
876,ENSP00000303147,1
191,ENSP00000272928,1
2132,ENSP00000364597,0
65020,ENSP00000306561,0
951,ENSP00000303424,1
54459,ENSP00000242210,0
