chemical,protein,label
4543,ENSP00000265729,0
1229,ENSP00000322924,1
951,ENSP00000288022,0
65243,ENSP00000354347,0
3916,ENSP00000316854,0
6918155,ENSP00000329684,0
3202,ENSP00000219919,0
5287844,ENSP00000347942,1
2771,ENSP00000245960,0
5311101,ENSP00000371110,0
439260,ENSP00000304501,1
5284595,ENSP00000356713,0
2689,ENSP00000368645,0
5405,ENSP00000268053,0
23932,ENSP00000360290,0
14917,ENSP00000364898,0
5329098,ENSP00000359539,0
5486827,ENSP00000296411,0
216235,ENSP00000245552,0
124087,ENSP00000355192,0
1132,ENSP00000308938,0
6013,ENSP00000360968,1
5959,ENSP00000351755,1
774,ENSP00000306662,1
951,ENSP00000357301,1
15,ENSP00000304782,0
6013,ENSP00000369927,1
698,ENSP00000363596,0
123696,ENSP00000343204,0
5497186,ENSP00000263980,0
441300,ENSP00000228740,0
1935,ENSP00000303211,1
3198,ENSP00000312262,0
1117,ENSP00000364801,1
3386,ENSP00000292180,0
5526,ENSP00000314151,0
5311067,ENSP00000302111,0
399618,ENSP00000262352,0
2732,ENSP00000324806,0
16132429,ENSP00000444788,0
3396,ENSP00000373169,1
2160,ENSP00000455607,0
934,ENSP00000348944,1
1547484,ENSP00000352401,0
23930,ENSP00000309591,1
3396,ENSP00000280155,1
123878,ENSP00000364831,0
753,ENSP00000261349,1
5267,ENSP00000362674,0
151069,ENSP00000366797,0
710,ENSP00000357067,0
5358,ENSP00000322909,0
5073,ENSP00000250559,0
13109,ENSP00000380514,0
4992,ENSP00000176183,0
23925,ENSP00000310721,1
679,ENSP00000308176,1
4108,ENSP00000250699,0
5472495,ENSP00000168216,0
5137129,ENSP00000369530,0
148121,ENSP00000307822,0
5645,ENSP00000219070,0
68760,ENSP00000302478,0
121850,ENSP00000231487,0
5581,ENSP00000261416,0
5329099,ENSP00000387536,0
2761,ENSP00000343190,0
3823,ENSP00000302846,0
2689,ENSP00000373169,1
4811,ENSP00000264381,1
5464105,ENSP00000327255,0
3827,ENSP00000349687,0
1547484,ENSP00000295055,0
4108,ENSP00000366506,0
1050,ENSP00000308032,0
4108,ENSP00000225275,0
104787,ENSP00000241052,0
23994,ENSP00000419425,1
100516,ENSP00000234454,0
5284570,ENSP00000240139,0
1117,ENSP00000373918,1
4742,ENSP00000299766,0
5268,ENSP00000369960,1
2154,ENSP00000308622,0
16129679,ENSP00000262178,1
3121,ENSP00000307259,0
5311081,ENSP00000263753,0
8646,ENSP00000354532,1
3964,ENSP00000380247,1
19861,ENSP00000332369,0
5202,ENSP00000353915,1
